Listing_ID,Type,Address,Price,Price_Per_M2,Area,Rooms,Bathrooms,Floor,Year_Built,Finish,View,Payment_Method,Seller_Type,Amenities,Description,Link
EG-6901132,Villa,north coast resorts riviera,"6,800,000 EGP","19,429 EGP/M²",350 m²,4 rooms,3 bathroom,N/A,2009,Super Lux,Garden,Installments,Developer,Garden,Villa For sale in Riviera,https://aqarmap.com.eg/en/listing/6901132-for-sale-north-coast-resorts-riviera/
EG-6671452,Apartment,cairo 6th of october compounds murooj,"5,000,000 EGP","37,594 EGP/M²",133 m²,3 rooms,2 bathroom,2,2026,Super Lux,Main Street,Cash,Developer,N/A,Apartment For sale in Murooj Compound - Dar El Maghraby,https://aqarmap.com.eg/en/listing/6671452-for-sale-cairo-6th-of-october-compounds-murooj/
EG-6903778,Land,cairo 6th of october ltws t lshrqy,"5,500,000 EGP","5,314 EGP/M²",1035 m²,N/A,N/A,N/A,N/A,N/A,Main Street,Cash,Broker,N/A,Land For sale in Eastern Expansions with size 1035 M² View Main Street,https://aqarmap.com.eg/en/listing/6903778-for-sale-cairo-6th-of-october-ltws-t-lshrqy/
EG-6897924,Chalet,north coast resorts solare resort misr italia,"9,974,100 EGP","75,561 EGP/M²",132 m²,2 rooms,2 bathroom,Ground,2029,Super Lux,Lake,Installments,Private Owner,"Security, Garden, Solar","Directly from the ownerA ground-floor chalet with two bedrooms and a garden (north-facing), fully finished, overlooking the lagoon directly.",https://aqarmap.com.eg/en/listing/6897924-for-sale-north-coast-resorts-solare-resort-misr-italia/
EG-6898957,Apartment,cairo new heliopolis lhy lthny,"1,600,000 EGP","13,333 EGP/M²",120 m²,2 rooms,3 bathroom,3,2025,ed For sale in Second Neighborhood,Main Street,Installments,Developer,N/A,"Apartments For sale with size 120 M² Semi Finished View Main Street, third floor, two rooms, three baths",https://aqarmap.com.eg/en/listing/6898957-for-sale-cairo-new-heliopolis-lhy-lthny/
EG-6859550,Land,cairo 6th of october green belt,"160,000,000 EGP","4,762 EGP/M²",33600 m²,N/A,N/A,N/A,N/A,N/A,Main Street,Cash,Broker,N/A,Residential Land For sale in Wadi El Nile with size 33600 M² View Main Street,https://aqarmap.com.eg/en/listing/6859550-for-sale-cairo-6th-of-october-green-belt/
EG-6899863,Apartment,cairo nasr city abbas el akkad,"6,500,000 EGP","32,500 EGP/M²",200 m²,3 rooms,3 bathroom,11,1999,Super Lux,Main Street,Cash,Broker,"Elevator, Water Meter, Security, Balcony","Finish:Extra super lux 200 M² View Main Street, eleventh floor, three rooms, three baths in Abbas El Akkad St.",https://aqarmap.com.eg/en/listing/6899863-for-sale-cairo-nasr-city-abbas-el-akkad/
EG-6723602,Studio,cairo new cairo compounds sarai croons,"3,185,000 EGP","46,159 EGP/M²",69 m²,1 rooms,1 bathroom,2,2026,ed,Main Street,Cash,Broker,N/A,Studio for sale in Sarai Compound – Phase S1Immediate delivery,https://aqarmap.com.eg/en/listing/6723602-for-sale-cairo-new-cairo-compounds-sarai-croons/
EG-6816744,Chalet,north coast resorts virginia plaza resort solid,"1,578,000 EGP","28,691 EGP/M²",55 m²,2 rooms,1 bathroom,7,2028,Super Lux,Pool,Cash or Installments,Developer,N/A,Chalet For sale in Virginia Plaza Resort - Solid,https://aqarmap.com.eg/en/listing/6816744-for-sale-north-coast-resorts-virginia-plaza-resort-solid/
EG-6547418,Apartment,cairo new cairo hy skn ljm lmryky,"7,350,000 EGP","31,013 EGP/M²",237 m²,4 rooms,3 bathroom,2,2025,ed,Garden,Cash,Developer,Garden,Apartment For sale in American University Housing District,https://aqarmap.com.eg/en/listing/6547418-for-sale-cairo-new-cairo-hy-skn-ljm-lmryky/
EG-6900412,Apartment,cairo new administrative capital r8 canyon 8 compound home town,"7,787,805 EGP","40,561 EGP/M²",192 m²,4 rooms,3 bathroom,2,2030,ed,Garden,Cash or Installments,Developer,"Elevator, Security, Parking, Garden, Balcony","Semi Finished Apartments in Canyon 8 Compound - Home Town with size 192 M² View Garden Semi Finished, second floor, four rooms, three baths",https://aqarmap.com.eg/en/listing/6900412-for-sale-cairo-new-administrative-capital-r8-canyon-8-compound-home-town/
EG-6799307,Office,cairo new administrative capital mu23 paris mall,"1,700,000 EGP","170,000 EGP/M²",10 m²,1 rooms,1 bathroom,11,2027,Super Lux,Plaza,Cash or Installments,Developer,N/A,Administrative Office for Sale – New Administrative Capital,https://aqarmap.com.eg/en/listing/6799307-for-sale-cairo-new-administrative-capital-mu23-paris-mall/
EG-6671559,Apartment,cairo 6th of october el tawsaat el shamalya hy 2000 qt,"1,500,000 EGP","12,500 EGP/M²",120 m²,2 rooms,2 bathroom,2,2026,ed,Main Street,Cash,Developer,N/A,Apartment For sale in The 2000 Pieces,https://aqarmap.com.eg/en/listing/6671559-for-sale-cairo-6th-of-october-el-tawsaat-el-shamalya-hy-2000-qt/
EG-6745372,Apartment,cairo el shorouk compounds palm island compound tg,"3,600,000 EGP","31,304 EGP/M²",115 m²,2 rooms,2 bathroom,1,2028,ed,Garden,Cash or Installments,Broker,"Elevator, Water Meter, Security, Garden, Balcony",Own your apartment in the best compound in Shorouk City at the lowest price on the market and with the best services.,https://aqarmap.com.eg/en/listing/6745372-for-sale-cairo-el-shorouk-compounds-palm-island-compound-tg/
EG-6687086,Roof,cairo new cairo bait el watan sixth neighborhood,"4,700,000 EGP","25,000 EGP/M²",188 m²,3 rooms,3 bathroom,4,2026,ed,Side Street,Cash or Installments,Developer,N/A,روف For sale in Sixth Neighborhood,https://aqarmap.com.eg/en/listing/6687086-for-sale-cairo-new-cairo-bait-el-watan-sixth-neighborhood/
EG-6762736,Apartment,cairo new administrative capital r8 ravie compound captain,"4,705,000 EGP","37,047 EGP/M²",127 m²,3 Bedroom Apartment for Sale in Ravie Compound – R8 New Capital – 10 Years Installments,2 bathroom,2,2025,ed,Main Street,Cash or Installments,Developer,N/A,"Own your unit in the heart of the New Administrative Capital at Ravie Compound – R8, one of the most premium residential zones.",https://aqarmap.com.eg/en/listing/6762736-for-sale-cairo-new-administrative-capital-r8-ravie-compound-captain/
EG-6714313,Apartment,cairo 6th of october el hay el motamyz first touristic village el shaheed mohammed abdul latif alshimi st,"5,700,000 EGP","35,625 EGP/M²",160 m²,3 rooms,2 bathroom,1,2026,Super Lux,Main Street,Cash,Developer,N/A,Apartment For sale in El Shaheed Mohamed Abd El Latif El Shimi St.,https://aqarmap.com.eg/en/listing/6714313-for-sale-cairo-6th-of-october-el-hay-el-motamyz-first-touristic-village-el-shaheed-mohammed-abdul-latif-alshimi-st/
EG-6753851,Apartment,cairo new cairo compounds the icon gardens compound style home,"4,350,000 EGP","27,188 EGP/M²","Own a 3-bedroom, 160m² apartment in The Icon, Fifth Settlement - CSA, with installments over 10 years",3 rooms,2 bathroom,3,2025,ed,Main Street,Cash or Installments,Broker,Garden,3-Bedroom Apartment for Sale in a Prime Location in New Cairo (Fifth Settlement)160 sq m,https://aqarmap.com.eg/en/listing/6753851-for-sale-cairo-new-cairo-compounds-the-icon-gardens-compound-style-home/
EG-6495823,Duplex,cairo new cairo bait el watan fourth neighborhood,"5,800,000 EGP","22,745 EGP/M²",255 m²,4 rooms,3 bathroom,Ground,2026,ed,Garden,Cash or Installments,Developer,Garden,دوبلكس For sale in Fourth Neighborhood,https://aqarmap.com.eg/en/listing/6495823-for-sale-cairo-new-cairo-bait-el-watan-fourth-neighborhood/
EG-6495796,Duplex,cairo new cairo bait el watan fourth neighborhood,"5,800,000 EGP","22,745 EGP/M²",255 m²,4 rooms,3 bathroom,Ground,2026,ed,Garden,Cash or Installments,Developer,Garden,دوبلكس For sale in Fourth Neighborhood,https://aqarmap.com.eg/en/listing/6495796-for-sale-cairo-new-cairo-bait-el-watan-fourth-neighborhood/
EG-6902624,Apartment,red sea hurghada city el hadba sheraton st,"2,871,000 EGP","49,500 EGP/M²",58 m²,1 rooms,1 bathroom,3,2028,Super Lux,Pool,Installments,Broker,N/A,"Located in the heart of the plateau, directly behind Al-Aseel Hospital, the project boasts a prime location that blends vibrancy and tranquility, close to key landmarks and services:",https://aqarmap.com.eg/en/listing/6902624-for-sale-red-sea-hurghada-city-el-hadba-sheraton-st/
EG-6902272,Apartment,cairo heliopolis el higaz square el hegaz st,"12,000,000 EGP","50,000 EGP/M²",240 m²,3 rooms,3 bathroom,9,2010,Super Lux,Main Street,Cash,Broker,N/A,Apartment For sale in El Hegaz St.,https://aqarmap.com.eg/en/listing/6902272-for-sale-cairo-heliopolis-el-higaz-square-el-hegaz-st/
EG-6902221,Apartment,cairo new cairo el yassamin el yasmeen 4 ali al sibai st,"8,750,000 EGP","39,773 EGP/M²","220 m² Apartment for Sale on Ali Al Sibai St., El Yasmeen 4",3 rooms,3 bathroom,1,2015,Super Lux,Main Street,Cash,Broker,"Elevator, Water Meter, Security, Balcony","Spacious 220 m² apartment available for sale in El Yasmeen 4, located on Ali Al Sibai Street in the 5th Settlement, New Cairo. The apartment is situated on the first floor and features a high-end EXTRA SUPER LUX finish.",https://aqarmap.com.eg/en/listing/6902221-for-sale-cairo-new-cairo-el-yassamin-el-yasmeen-4-ali-al-sibai-st/
EG-6901754,Apartment,north coast new alamein mntj t l lmyn ljdyd kmbwnd mzryn,"25,150,000 EGP","116,977 EGP/M²",215 m²,3 rooms,2 bathroom,5,2026,Super Lux,Main Street,Installments,Broker,"Elevator, Water Meter, Security, Swimming Pool, Balcony","Apartments For sale with size 215 M² Extra super lux View Main Street, fifth floor, three rooms, two baths",https://aqarmap.com.eg/en/listing/6901754-for-sale-north-coast-new-alamein-mntj-t-l-lmyn-ljdyd-kmbwnd-mzryn/
EG-6727791,Apartment,cairo new cairo madinaty tenth zone buildings group 103,"7,500,000 EGP","37,500 EGP/M²",200 m²,4 rooms,3 bathroom,3,2020,N/A,Main Street,Cash,Broker,"Elevator, Water Meter, Security, Parking, Balcony",شقة لقطة للبيع في مدينتي – المرحلة B10 – استلام فوري بمقدم مميزامتلك الآن شقة بمساحة 200م² في واحدة من أفضل مواقع مدينتي، بإطلالة مفتوحة تمامًا تمنحك الخصوصية والهدوء، وتصميم عملي يناسب السكن العائلي الراقي.,https://aqarmap.com.eg/en/listing/6727791-for-sale-cairo-new-cairo-madinaty-tenth-zone-buildings-group-103/
EG-6742751,Apartment,cairo new administrative capital hdyq l sm mdyn nwr mjmw tl t mstfy,"5,519,000 EGP","46,378 EGP/M²",119 m²,3 rooms,2 bathroom,4,2026,Super Lux,Garden,Installments,Broker,Garden,Apartment For sale in Noor City - TMG,https://aqarmap.com.eg/en/listing/6742751-for-sale-cairo-new-administrative-capital-hdyq-l-sm-mdyn-nwr-mjmw-tl-t-mstfy/
EG-6803391,Apartment,cairo new cairo lmstqbl syty compounds lavenir,"4,200,000 EGP","26,250 EGP/M²",160 m²,3 rooms,3 bathroom,1,2026,ed,Garden,Cash,Broker,"Elevator, Water Meter, Security, Swimming Pool, Garden, Balcony",Lavenir - Mostakbal City,https://aqarmap.com.eg/en/listing/6803391-for-sale-cairo-new-cairo-lmstqbl-syty-compounds-lavenir/
EG-6808328,Apartment,cairo hadayek el ahram mntq z,"5,940,000 EGP","30,000 EGP/M²",198 m²,3 rooms,3 bathroom,1,2029,N/A,Main Street,Cash,Broker,"Elevator, Water Meter, Security, Balcony",شقق للبيع في منطقة ز,https://aqarmap.com.eg/en/listing/6808328-for-sale-cairo-hadayek-el-ahram-mntq-z/
EG-6743778,Villa,cairo el sheikh zayed city lshykh zyd ljdyd park valley diwan compound efid,"7,500,000 EGP","28,846 EGP/M²",260 m²,4 rooms,3 bathroom,N/A,2029,N/A,Garden,Cash or Installments,Broker,Garden,"For the first time in Sheikh Zayed, own your villa with long-term installments up to 14 years in Park Valley New Zayed compound, with suitable spaces and a competitive price.",https://aqarmap.com.eg/en/listing/6743778-for-sale-cairo-el-sheikh-zayed-city-lshykh-zyd-ljdyd-park-valley-diwan-compound-efid/
EG-6739854,Commercial,cairo 6th of october hadaeq october investors association,"5,280,000 EGP","160,000 EGP/M²",33 m²,N/A,N/A,Ground,2028,ed,Main Street,Cash or Installments,Broker,N/A,Shop For sale in Investors Association,https://aqarmap.com.eg/en/listing/6739854-for-sale-cairo-6th-of-october-hadaeq-october-investors-association/
EG-6767386,Studio,cairo 6th of october compounds etlala compound,"1,000,000 EGP","22,222 EGP/M²",45 m²,1 rooms,1 bathroom,1,2029,N/A,Main Street,Cash or Installments,Broker,N/A,"A great opportunity to own a spacious unit in a modern residential project in New October City, spanning 25 acres, with integrated services and a competitive price.",https://aqarmap.com.eg/en/listing/6767386-for-sale-cairo-6th-of-october-compounds-etlala-compound/
EG-6901941,Penthouse,cairo new cairo compounds trio gardens,"8,200,000 EGP","51,250 EGP/M²",160 m²,3 rooms,3 bathroom,4,2024,Super Lux,Main Street,Cash,Broker,"Security, Swimming Pool, Parking, Garden, Balcony","A modern penthouse is available for sale in Trio Gardens Compound, located in New Cairo's 5th Settlement. This spacious 160 m² unit is finished to an extra super lux standard and sits on the 4th floor.",https://aqarmap.com.eg/en/listing/6901941-for-sale-cairo-new-cairo-compounds-trio-gardens/
EG-6730469,Apartment,cairo new cairo madinaty fourteenth zone buildings fourteenth zone buildings,"8,000,000 EGP","106,667 EGP/M²",75 m²,2 rooms,1 bathroom,1,2028,Super Lux,Garden,Cash,Broker,"Security, Garden",شقة بحديقة للبيع في منطقة العمارات 14,https://aqarmap.com.eg/en/listing/6730469-for-sale-cairo-new-cairo-madinaty-fourteenth-zone-buildings-fourteenth-zone-buildings/
EG-6784658,Apartment,cairo new cairo compounds the square,"9,500,000 EGP","46,798 EGP/M²",203 m²,4 rooms,3 bathroom,1,2026,ed,Garden,Cash,Broker,"Elevator, Security, Parking, Garden",For Sale in The Square Compound,https://aqarmap.com.eg/en/listing/6784658-for-sale-cairo-new-cairo-compounds-the-square/
EG-6745435,Studio,cairo 6th of october compounds etlala compound,"1,150,000 EGP","23,000 EGP/M²",50 m²,1 rooms,1 bathroom,1,2030,N/A,Garden,Cash or Installments,Broker,Garden,"A perfect unit for those seeking a low-cost, easy investment opportunity: a studio apartment within a fully integrated compound in New October City. Available for living or renting with a long-term payment plan.",https://aqarmap.com.eg/en/listing/6745435-for-sale-cairo-6th-of-october-compounds-etlala-compound/
EG-6738952,Commercial,cairo 6th of october hadaeq october investors association,"2,040,000 EGP","170,000 EGP/M²",12 m²,N/A,N/A,1,2028,ed,Main Street,Cash or Installments,Broker,N/A,محلات للبيع في جمعية المستثمرين,https://aqarmap.com.eg/en/listing/6738952-for-sale-cairo-6th-of-october-hadaeq-october-investors-association/
EG-6902017,Apartment,the lark residence tamayoz,"5,800,000 EGP","55,769 EGP/M²","Apartment 104 m² for Sale in The Lark Residence, New Cairo installation over 12 years",2 rooms,2 bathroom,2,2030,N/A,Garden,Installments,Broker,"Elevator, Electricity Meter, Security, Swimming Pool, Garden, Balcony","This 104 m² apartment is available for sale in The Lark Residence, located in New Cairo’s 5th Settlement. The property is set on the second floor and comes without finishing, giving you the flexibility to design it to your own style.",https://aqarmap.com.eg/en/listing/6902017-for-sale-the-lark-residence-tamayoz/
EG-6763572,Apartment,cairo new cairo compounds sarai taval sarai,"5,650,000 EGP","33,432 EGP/M²",169 m²,3 rooms,3 bathroom,3,2026,N/A,Other,Cash,Broker,N/A,A prime opportunity in Sarai Compound – Mostakbal City for immediate delivery of a apartment at the best price in the market.,https://aqarmap.com.eg/en/listing/6763572-for-sale-cairo-new-cairo-compounds-sarai-taval-sarai/
EG-6837359,Apartment,cairo nasr city el tayaran,"6,000,000 EGP","36,364 EGP/M²",165 m²,3 rooms,2 bathroom,2,1995,Super Lux,Garden,Cash,Broker,"Elevator, Security, Garden, Balcony","Finish:Extra super lux 165 M² View Garden, second floor, three rooms, two baths in El Tayaran St.",https://aqarmap.com.eg/en/listing/6837359-for-sale-cairo-nasr-city-el-tayaran/
EG-6803509,Chalet,north coast resorts hacienda waters resort palm hills,"9,475,000 EGP","91,990 EGP/M²",103 m²,2 rooms,2 bathroom,3,2026,Super Lux,Other,Installments,Broker,N/A,Chalet For sale in Hacienda Waters Resort - Palm Hills,https://aqarmap.com.eg/en/listing/6803509-for-sale-north-coast-resorts-hacienda-waters-resort-palm-hills/
EG-6805581,Office,cairo 6th of october hadaeq october compounds italian square,"1,250,000 EGP","50,000 EGP/M²",25 m²,N/A,N/A,2,2029,N/A,Main Street,Cash or Installments,Broker,Parking,محلات للبيع في الحي الايطالي - موسي كوست,https://aqarmap.com.eg/en/listing/6805581-for-sale-cairo-6th-of-october-hadaeq-october-compounds-italian-square/
EG-6880124,Villa,cairo el sheikh zayed city lshykh zyd ljdyd park valley diwan compound efid,"7,800,000 EGP","30,000 EGP/M²",260 m²,4 rooms,2 bathroom,N/A,2028,N/A,Garden,Installments,Broker,Garden,تاون هاوس For sale in Park Valley DiwanOwn Your Villa with Installments Over 14 Years in a Prime Location in the Heart of New Zayed,https://aqarmap.com.eg/en/listing/6880124-for-sale-cairo-el-sheikh-zayed-city-lshykh-zyd-ljdyd-park-valley-diwan-compound-efid/
EG-6902138,Unknown,cairo new cairo el ahyaa second neighborhood street 79,"50,000,000 EGP","100,000 EGP/M²",500 m²,N/A,N/A,N/A,2021,N/A,Main Street,Cash,Developer,N/A,Mall For sale in Street 79 with size 500 M² View Main Street,https://aqarmap.com.eg/en/listing/6902138-for-sale-cairo-new-cairo-el-ahyaa-second-neighborhood-street-79/
EG-6901925,Apartment,cairo heliopolis shareaa el nozha,"5,100,000 EGP","30,909 EGP/M²",165 m²,3 rooms,2 bathroom,6,2000,Super Lux,Main Street,Cash,Developer,N/A,Area: 165 m²Floor: 6th,https://aqarmap.com.eg/en/listing/6901925-for-sale-cairo-heliopolis-shareaa-el-nozha/
EG-6714619,Apartment,cairo 6th of october el ahyaa neighborhood 4th school st,"4,000,000 EGP","15,385 EGP/M²",260 m²,3 rooms,3 bathroom,1,2026,Super Lux,Garden,Cash,Developer,Garden,Apartment For sale in School St,https://aqarmap.com.eg/en/listing/6714619-for-sale-cairo-6th-of-october-el-ahyaa-neighborhood-4th-school-st/
EG-6901210,Chalet,ain elsokhna resorts steigenberger resort ayalora alarinova,"7,968,079 EGP","106,241 EGP/M²",75 m²,1 rooms,1 bathroom,1,2029,Super Lux,Sea View,Cash or Installments,Developer,"Elevator, Water Meter, Security, Swimming Pool, Balcony","Steigenberger Resort Ayalora launches Phase 1 of their branded, serviced, finished and furnished residences in Ain Sokhna at kilo 33.5 Suez road.Own your 5 stars residence in front of the pristine blue waters and white sandy beaches of the red sea, 45 minutes from New Cairo and enjoy a turn-key concept, hassle free property, fully finished and fully furnished with all appliances as per Steigenberger standards.",https://aqarmap.com.eg/en/listing/6901210-for-sale-ain-elsokhna-resorts-steigenberger-resort-ayalora-alarinova/
EG-6745357,Apartment,cairo 6th of october compounds etlala compound,"2,300,000 EGP","23,000 EGP/M²",100 m²,2 rooms,1 bathroom,2,2026,N/A,Garden,Cash or Installments,Developer,Garden,Your apartment in New October City with the longest installment period and an unbeatable price:,https://aqarmap.com.eg/en/listing/6745357-for-sale-cairo-6th-of-october-compounds-etlala-compound/
EG-6899575,Roof,cairo new cairo el narges el narges 2 el sheikh abd el aziz gawish st,"6,000,000 EGP","27,273 EGP/M²",220 m²,3 rooms,3 bathroom,3,2017,ed,Side Street,Cash,Broker,N/A,Roof For sale in El Sheikh Abd El Aziz Gawish St. with size 220 M² View Side Street,https://aqarmap.com.eg/en/listing/6899575-for-sale-cairo-new-cairo-el-narges-el-narges-2-el-sheikh-abd-el-aziz-gawish-st/
EG-6748080,Commercial,cairo 6th of october hadaeq october compounds alico city,"1,394,000 EGP","82,000 EGP/M²",17 m²,N/A,N/A,1,2029,ed,Plaza,Cash or Installments,Broker,N/A,Shop For sale in Alico City Compound,https://aqarmap.com.eg/en/listing/6748080-for-sale-cairo-6th-of-october-hadaeq-october-compounds-alico-city/
EG-6729261,Apartment,cairo 6th of october garb someed neighborhood 14th el nabatat st,"9,000,000 EGP","30,000 EGP/M²",300 m²,3 rooms,2 bathroom,3,2026,Super Lux,Other,Cash,Developer,N/A,Apartment For sale in El Nabatat St.,https://aqarmap.com.eg/en/listing/6729261-for-sale-cairo-6th-of-october-garb-someed-neighborhood-14th-el-nabatat-st/
EG-6739827,Villa,cairo el sheikh zayed city compounds el yasmeen compound,"26,000,000 EGP","104,000 EGP/M²",250 m²,7 rooms,6 bathroom,N/A,2026,Super Lux,Garden,Cash,Developer,Garden,فيلا For sale in El Yasmeen Compound - El Rayan Group,https://aqarmap.com.eg/en/listing/6739827-for-sale-cairo-el-sheikh-zayed-city-compounds-el-yasmeen-compound/
EG-6739956,Villa,cairo 6th of october compounds grand heights,"30,000,000 EGP","86,957 EGP/M²",345 m²,5 rooms,5 bathroom,N/A,2026,Super Lux,Other,Cash,Developer,N/A,فيلا For sale in Grand Heights Compound - Kuwadico,https://aqarmap.com.eg/en/listing/6739956-for-sale-cairo-6th-of-october-compounds-grand-heights/
EG-6743410,Villa,cairo 6th of october compounds grand heights,"24,000,000 EGP","80,808 EGP/M²",297 m²,4 rooms,4 bathroom,N/A,2026,Super Lux,Garden,Cash,Developer,Garden,فيلا For sale in Grand Heights Compound - Kuwadico,https://aqarmap.com.eg/en/listing/6743410-for-sale-cairo-6th-of-october-compounds-grand-heights/
EG-6745231,Building,cairo 6th of october el ahyaa neighborhood 5th street 2,"25,000,000 EGP","83,333 EGP/M²",300 m²,N/A,N/A,N/A,2026,Super Lux,Other,Cash,Developer,N/A,عمارات For sale in Street 2,https://aqarmap.com.eg/en/listing/6745231-for-sale-cairo-6th-of-october-el-ahyaa-neighborhood-5th-street-2/
EG-6714331,Apartment,cairo 6th of october el hay el motamyz first touristic village el shaheed mohammed abdul latif alshimi st,"5,700,000 EGP","35,625 EGP/M²",160 m²,3 rooms,2 bathroom,2,2026,Super Lux,Other,Cash,Developer,N/A,Apartment For sale in El Shaheed Mohamed Abd El Latif El Shimi St.,https://aqarmap.com.eg/en/listing/6714331-for-sale-cairo-6th-of-october-el-hay-el-motamyz-first-touristic-village-el-shaheed-mohammed-abdul-latif-alshimi-st/
EG-6729315,Villa,cairo el sheikh zayed city el hay elsabeaa lbstn,"85,000,000 EGP","116,438 EGP/M²",730 m²,13 rooms,14 bathroom,N/A,2026,Super Lux,Garden,Cash,Developer,Garden,فيلا For sale in El Bostan St.,https://aqarmap.com.eg/en/listing/6729315-for-sale-cairo-el-sheikh-zayed-city-el-hay-elsabeaa-lbstn/
EG-6739455,Villa,cairo el sheikh zayed city compounds el rabwa,"35,000,000 EGP","116,667 EGP/M²",300 m²,3 rooms,3 bathroom,N/A,2026,Super Lux,Garden,Cash,Developer,Garden,فيلا For sale in El Rabwa Compound - TMG,https://aqarmap.com.eg/en/listing/6739455-for-sale-cairo-el-sheikh-zayed-city-compounds-el-rabwa/
EG-6714374,Villa,cairo hadayek el ahram al mantaka s,"28,000,000 EGP","30,108 EGP/M²",930 m²,12 rooms,8 bathroom,N/A,2026,ed,Main Street,Cash,Developer,N/A,فيلا For sale in Al Mantaka S,https://aqarmap.com.eg/en/listing/6714374-for-sale-cairo-hadayek-el-ahram-al-mantaka-s/
EG-6725674,Villa,cairo 6th of october garb someed neighborhood 9th,"26,500,000 EGP","44,167 EGP/M²",600 m²,9 rooms,9 bathroom,N/A,2026,ed,Corner,Cash,Developer,N/A,فيلا For sale in Neighborhood 9th,https://aqarmap.com.eg/en/listing/6725674-for-sale-cairo-6th-of-october-garb-someed-neighborhood-9th/
EG-6743391,Villa,cairo 6th of october compounds grand heights,"25,000,000 EGP","72,464 EGP/M²",345 m²,5 rooms,6 bathroom,N/A,2026,ed,Garden,Cash,Developer,Garden,فيلا For sale in Grand Heights Compound - Kuwadico,https://aqarmap.com.eg/en/listing/6743391-for-sale-cairo-6th-of-october-compounds-grand-heights/
EG-6899467,Unknown,cairo new cairo 90th street northern 90th street,"2,500,000 EGP","35,714 EGP/M²",70 m²,2 rooms,1 bathroom,N/A,N/A,N/A,Side Street,Cash,Broker,N/A,Residential For sale in Northern 90th St. with size 70 M² View Side Street,https://aqarmap.com.eg/en/listing/6899467-for-sale-cairo-new-cairo-90th-street-northern-90th-street/
EG-6899280,Apartment,cairo nasr city el hay el asher ahmed el zomor,"5,400,000 EGP","25,116 EGP/M²",215 m²,3 rooms,2 bathroom,2,2027,ed,Main Street,Cash or Installments,Broker,N/A,Apartment For sale in Ahmed El Zomor St.,https://aqarmap.com.eg/en/listing/6899280-for-sale-cairo-nasr-city-el-hay-el-asher-ahmed-el-zomor/
EG-6900295,Apartment,cairo new cairo bait el watan second neighborhood,"7,435,800 EGP","30,726 EGP/M²",242 m²,3 rooms,2 bathroom,1,2028,ed in Second Neighborhood,Main Street,Cash or Installments,Developer,"Elevator, Parking, Balcony","Semi Finished Apartments in Second Neighborhood with size 242 M² View Main Street Semi Finished, first floor, three rooms, two baths",https://aqarmap.com.eg/en/listing/6900295-for-sale-cairo-new-cairo-bait-el-watan-second-neighborhood/
EG-6899944,Apartment,cairo new cairo compounds veloria compound regency,"3,700,000 EGP","38,947 EGP/M²",95 m²,2 rooms,1 bathroom,1,2026,ed,Garden,Cash or Installments,Developer,Garden,Your luxuriously designed apartment in the prestigious VELORIA Compound in New Cairo,https://aqarmap.com.eg/en/listing/6899944-for-sale-cairo-new-cairo-compounds-veloria-compound-regency/
EG-6899751,Apartment,cairo new cairo compounds mwrd fq llttwyr,"12,500,000 EGP","58,140 EGP/M²",215 m²,3 rooms,3 bathroom,2,2026,Super Lux,Plaza,Cash or Installments,Developer,"Elevator, Water Meter, Security, Balcony",Apartments For sale in Amorada Compound - Afaq with size 215 M² View Plaza,https://aqarmap.com.eg/en/listing/6899751-for-sale-cairo-new-cairo-compounds-mwrd-fq-llttwyr/
EG-6897894,Commercial,cairo 6th of october hadaeq october tryq hmd zwyl,"6,432,140 EGP","142,936 EGP/M²",45 m²,N/A,N/A,1,2029,ed,Main Street,Cash or Installments,Broker,"Water Meter, Security, Parking, Garden",Shops For sale in Ahmed Zewail Rd with size 45 M² View Main Street,https://aqarmap.com.eg/en/listing/6897894-for-sale-cairo-6th-of-october-hadaeq-october-tryq-hmd-zwyl/
EG-6732609,Unknown,cairo el maadi zahraa el maadi seventh neighborhood,"4,485,000 EGP","30,931 EGP/M²",145 m²,3 rooms,2 bathroom,N/A,N/A,N/A,Main Street,Cash,Developer,N/A,سكني للبيع الشطر السابع,https://aqarmap.com.eg/en/listing/6732609-for-sale-cairo-el-maadi-zahraa-el-maadi-seventh-neighborhood/
EG-6899247,Apartment,cairo new cairo bait el watan first neighborhood,"4,977,500 EGP","25,526 EGP/M²",195 m²,3 rooms,3 bathroom,1,2026,ed For sale in First Neighborhood,Main Street,Cash,Developer,N/A,Apartments For sale in First Neighborhood with size 195 M² View Main Street,https://aqarmap.com.eg/en/listing/6899247-for-sale-cairo-new-cairo-bait-el-watan-first-neighborhood/
EG-6876660,Unknown,cairo heliopolis heliopolis square abd el moaty el khial st,"5,500,000 EGP","27,500 EGP/M²",200 m²,3 rooms,2 bathroom,N/A,N/A,N/A,Side Street,Cash,Developer,N/A,Residential For sale in Abd El Moaty El Khial St. with size 200 M² View Side Street,https://aqarmap.com.eg/en/listing/6876660-for-sale-cairo-heliopolis-heliopolis-square-abd-el-moaty-el-khial-st/
EG-6896276,Office,cairo new cairo compounds mivida mivida business park emaar,"130,000,000 EGP","246,212 EGP/M²",528 m²,N/A,N/A,Ground,N/A,Super Lux,Main Street,Cash,Broker,N/A,Admin space for sale 528 sqm in Mivida Business Park - Fifth Settlement,https://aqarmap.com.eg/en/listing/6896276-for-sale-cairo-new-cairo-compounds-mivida-mivida-business-park-emaar/
