Listing_ID,Type,Address,Price,Price_Per_M2,Area,Rooms,Bathrooms,Floor,Year_Built,Finish,View,Payment_Method,Seller_Type,Amenities,Description,Link
EG-6886969,Apartment,cairo new cairo lrhb city mtdd lrhb phase 9,"6,800,000 EGP","51,908 EGP/M²",131 m²,"Own an apartment in Al Rehab City, 131 sq m, company finishes. Excellent location. Second floor with elevator. Attractive price. 3 bedrooms. 2 bathrooms. Reception. Kitchen. Garden view. Advertiser code: mss","Own an apartment in Al Rehab City, 131 sq m, company finishes. Excellent location. Second floor with elevator. Attractive price. 3 bedrooms. 2 bathrooms. Reception. Kitchen. Garden view. Advertiser code: mss",2,2025,N/A,Garden,Cash,Broker,"Elevator, Garden",N/A,https://aqarmap.com.eg/en/listing/6886969-for-sale-cairo-new-cairo-lrhb-city-mtdd-lrhb-phase-9/
EG-6886654,Unknown,cairo new cairo compounds wzwn ltby ktlyst llttwyr,"4,560,000 EGP","120,000 EGP/M²",38 m²,1 rooms,1 bathroom,3,2027,N/A,Main Street,Installments,Broker,N/A,N/A,https://aqarmap.com.eg/en/listing/6886654-for-sale-cairo-new-cairo-compounds-wzwn-ltby-ktlyst-llttwyr/
EG-6886984,Apartment,cairo el sheikh zayed city compounds,"7,568,000 EGP","52,193 EGP/M²",145 m²,2 rooms,1 bathroom,1,2030,N/A,Main Street,Cash or Installments,Broker,N/A,N/A,https://aqarmap.com.eg/en/listing/6886984-for-sale-cairo-el-sheikh-zayed-city-compounds/
EG-6887362,Apartment,cairo new cairo bait el watan shml byt lwtn,"3,960,000 EGP","24,000 EGP/M²",165 m²,3 rooms,2 bathroom,2,2028,N/A,Side Street,Cash or Installments,Broker,Garden,N/A,https://aqarmap.com.eg/en/listing/6887362-for-sale-cairo-new-cairo-bait-el-watan-shml-byt-lwtn/
EG-6887337,Apartment,cairo new cairo el narges el narges 2 pilot halawany st,"9,000,000 EGP","45,000 EGP/M²",200 m²,3 rooms,2 bathroom,1,2026,N/A,Garden,Cash,Broker,Garden,N/A,https://aqarmap.com.eg/en/listing/6887337-for-sale-cairo-new-cairo-el-narges-el-narges-2-pilot-halawany-st/
EG-6886756,Apartment,cairo new administrative capital r8 qamari compound new event,"4,200,000 EGP","28,966 EGP/M²",145 m²,3 rooms,2 bathroom,3,2028,N/A,Main Street,Cash or Installments,Broker,N/A,N/A,https://aqarmap.com.eg/en/listing/6886756-for-sale-cairo-new-administrative-capital-r8-qamari-compound-new-event/
EG-6886669,Unknown,cairo new administrative capital r7 dy jwy 3 tj msr,"3,176,800 EGP","93,435 EGP/M²",34 m²,N/A,N/A,1,2026,N/A,Main Street,Cash,Broker,N/A,N/A,https://aqarmap.com.eg/en/listing/6886669-for-sale-cairo-new-administrative-capital-r7-dy-jwy-3-tj-msr/
EG-6886333,Penthouse,https://aqarmap.com.eg/en/listing/6886333 projects hacienda west north coast,"113,577,000 EGP","334,050 EGP/M²",N/A,N/A,N/A,N/A,N/A,N/A,Seaview,Cash or Installments,N/A,"Security, Swimming Pool, Garden",N/A,https://aqarmap.com.eg/en/listing/6886333-projects-hacienda-west-north-coast/
EG-6885971,Unknown,cairo new cairo compounds el ashrafia,"5,000,000 EGP","41,667 EGP/M²",120 m²,2 rooms,1 bathroom,N/A,N/A,N/A,Side Street,Cash,Broker,N/A,N/A,https://aqarmap.com.eg/en/listing/6885971-for-sale-cairo-new-cairo-compounds-el-ashrafia/
EG-6892194,Unknown,cairo new cairo compounds villette kmbwnd sky kwndwz swdyk villette,"39,000,000 EGP","97,500 EGP/M²",400 m²,4 rooms,4 bathroom,N/A,2019,N/A,Garden,Cash,Developer,"Security, Parking, Garden, Balcony",N/A,https://aqarmap.com.eg/en/listing/6892194-for-sale-cairo-new-cairo-compounds-villette-kmbwnd-sky-kwndwz-swdyk-villette/
EG-6886349,Apartment,cairo manial el rawda st,"6,800,000 EGP","22,667 EGP/M²",300 m²,3 rooms,3 bathroom,5,1995,N/A,Main Street,Cash,Broker,N/A,N/A,https://aqarmap.com.eg/en/listing/6886349-for-sale-cairo-manial-el-rawda-st/
